"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1911928888978251882","Mon Apr 14 23:45:43 +0000 2025","0","@kring_pajak min ketika daftar npwp lewat coretax saya dpt bukti penerimaan surat tapi nomor npwpnya kosong itu gmn ya min??","1911928888978251882","","kring_pajak","in","","0","1","0","https://x.com/Lovebirrdd/status/1911928888978251882","3183571386","Lovebirrdd"
"1911790734442934351","Mon Apr 14 23:44:56 +0000 2025","0","@gregoriusptian Betul maseeh no npwp lama sudah tidak digunakan untuk pelaporan pajak maupun coretax.","1911928691929874560","","gregoriusptian","in","","0","1","0","https://x.com/kanan_sudut/status/1911928691929874560","806355667","kanan_sudut"
"1911699369767915650","Mon Apr 14 22:30:24 +0000 2025","0","@ridwanhr Karena Coretax wkwk","1911909932741657046","","ridwanhr","in","Masalembu","0","0","0","https://x.com/masikik/status/1911909932741657046","782315827","masikik"
"1911888223707750562","Mon Apr 14 21:04:08 +0000 2025","0","@kring_pajak min kl baru daftar npwp apa kudu bikin akun djp atau bisa lngsing coretax ? Apa perlu efin?","1911888223707750562","","kring_pajak","in","","0","1","0","https://x.com/ohsehuna22/status/1911888223707750562","1964727350","ohsehuna22"
"1911864597398851651","Mon Apr 14 19:30:15 +0000 2025","0","dikerjain coretax ampe jam segini.","1911864597398851651","","","in","peak season","0","0","0","https://x.com/balanceshxxt/status/1911864597398851651","747162682910879744","balanceshxxt"
"1911837251144913033","Mon Apr 14 17:41:35 +0000 2025","0","Tengah mlm di telp kaka gue nanyain coretax si udah paham bgt tuuhhh gue pake coretax. Tapi herannya kalo sm gue selalu berhasil bikin faktur laporan pajak dll. Emang cuma butuh validasi aja orgnya krn sama2 masih meraba2","1911837251144913033","","","in","","0","1","0","https://x.com/widyoretno_/status/1911837251144913033","1883459002446815232","widyoretno_"
"1911826096439595228","Mon Apr 14 16:57:16 +0000 2025","0","Coretax down mulu anjir jam segini pdhl","1911826096439595228","","","in","Quatorze déc","0","0","0","https://x.com/angclicdcmon/status/1911826096439595228","377986749","angclicdcmon"
"1911821859282202853","Mon Apr 14 16:40:25 +0000 2025","4","coretax ini emang babi monyet nasklenggg","1911821859282202853","","","tl","","0","0","0","https://x.com/theretataa/status/1911821859282202853","1152563301546463233","theretataa"
"1911729537907310780","Mon Apr 14 16:30:36 +0000 2025","0","@m3final Tapi hrdku bilang harus yg di coretax huhuh","1911819388304666673","","m3final","in","","0","1","0","https://x.com/cuddlecandle/status/1911819388304666673","1613139986253217794","cuddlecandle"
"1911817443489788387","Mon Apr 14 16:22:53 +0000 2025","0","Kerja sama coretax 90% nya di kerjain doang monyeee udh 4 bulan gini2 baeee ","1911817443489788387","","","in","","0","0","0","https://x.com/soupgalantine/status/1911817443489788387","1257224179763408897","soupgalantine"
"1904042764884648298","Mon Apr 14 15:42:25 +0000 2025","1","@kring_pajak Halo kak PPN yang di dapat dr masing2 perkalian semuanya hanya 1 angka di belakang koma ketika dijumlahkan total PPN seharusnya 28.281.885 5 tetapi di Coretax menjadi 28.281.885 bukankah seharusnya bulat ke atas? Harga Jual nya di 257.108.050","1911807259912606068","","kring_pajak","in","","0","1","0","https://x.com/cristine9508/status/1911807259912606068","1061264460067700736","cristine9508"
"1910506914385125482","Mon Apr 14 15:41:57 +0000 2025","0","@kring_pajak @DitjenPajakRI iya benar berarti sudah benar ya untuk yg tahun sebelumnya pasal 25 kode 411125-200 skrg sudah harus wajib dibayar diangsur bulanan dengan 411125-100 ya? trus didalam coretax adakah ada menu di dashboard yg menunjukkan klo pembayaran saya sudah valid dan berhasil?","1911807143923384533","","kring_pajak","in","","0","1","0","https://x.com/Niapopo4/status/1911807143923384533","1081896642192629760","Niapopo4"
"1911802884414648698","Mon Apr 14 15:25:01 +0000 2025","0","mana sih yg kemaren blg coretax udah ga eror pen kupukul mulutnya","1911802884414648698","","","in","","0","0","0","https://x.com/tikaprdpta/status/1911802884414648698","269711428","tikaprdpta"
"1911801989392159187","Mon Apr 14 15:21:28 +0000 2025","0","Jam segini tuh coretax belom bisa kebukaa???!!!","1911801989392159187","","","in","SRG","0","0","0","https://x.com/justminneee/status/1911801989392159187","1165455829899726853","justminneee"
